Fatt. n°/Vs. Orc	Cliente	Kg	Ordine < 500 (non compilare se in C/L)	Lav	Tipologia Materiale	Materiale Euro di riferimento	Materiale+Lav con commissione	Vendita	Aliquota variabile	Commissione con aliquota Variabile	1,5% fissa	3% Fissa	8% Fissa	Totale Fisso	delta	Totale provv variabile	TOTALE FATTURA	Data Consegna	 € 18.539,86 	 € 62.281,55 			
2504559/25008279	Vezzaro	1.829,00		 € 0,920 	Rame	 € -     	 € 0,9200 	 € 1,3100 	0,00%	 € -     	 € -     	 € -     	 € 0,0736 	 € 134,6144 	 € 0,3400 	 € 248,7440 	 € 383,3584 		OK			0	0
2504559/25008276	Vezzaro	2.597,00		 € 1,000 	Rame	 € -     	 € 1,0000 	 € 1,3500 	0,00%	 € -     	 € -     	 € -     	 € 0,0800 	 € 207,7600 	 € 0,3500 	 € 363,5800 	 € 571,3400 		OK			0	0
2504559/25008276	Vezzaro	3.093,00		 € 1,000 	Rame	 € -     	 € 1,0000 	 € 1,3500 	0,00%	 € -     	 € -     	 € -     	 € 0,0800 	 € 247,4400 	 € 0,3500 	 € 433,0200 	 € 680,4600 		OK			0	0
2504558	By Carpel	2.000,00		 € 0,720 	Rame	 € 10,1488 	 € 10,8688 	 € 11,0600 	5,00%	 € 0,5434 	 € 0,1630 	 € -     	 € -     	 € 326,0646 	 € 0,1912 	 € 152,9450 	 € 479,0095 	10/11/2025				11	2025
2504558	By Carpel	2.500,00		 € 0,720 	Rame	 € 10,1488 	 € 10,8688 	 € 11,0600 	5,00%	 € 0,5434 	 € 0,1630 	 € -     	 € -     	 € 407,5807 	 € 0,1912 	 € 191,1812 	 € 598,7619 	10/11/2025				11	2025
2504558	By Carpel	2.500,00		 € 0,730 	Rame	 € 10,1488 	 € 10,8788 	 € 11,3100 	5,00%	 € 0,5439 	 € 0,1632 	 € -     	 € -     	 € 407,9557 	 € 0,4312 	 € 431,1812 	 € 839,1369 	10/11/2025				11	2025
2504625	Cabur	2.000,00		 € 0,790 	Rame	 € 9,3281 	 € 10,1181 	 € 10,1181 	5,00%	 € 0,5059 	 € 0,1518 	 € -     	 € -     	 € 303,5421 	 € 0,0000 	 € 0,0247 	 € 303,5668 	04/12/2025				12	2025
2504626/25008053	Cabur	1.750,00		 € 0,780 	Rame	 € 9,3281 	 € 10,1081 	 € 10,1081 	5,00%	 € 0,5054 	 € 0,1516 	 € -     	 € -     	 € 265,3368 	 € 0,0000 	 € 0,0216 	 € 265,3584 	12/12/2025				12	2025
2505076	Rotech	500,00		 € 0,710 	Rame	 € 10,1937 	 € 10,9037 	 € 11,1100 	5,00%	 € 0,5452 	 € 0,1636 	 € -     	 € -     	 € 81,7781 	 € 0,2063 	 € 41,2515 	 € 123,0296 	28/11/2025				11	2025
2505076	Rotech	500,00		 € 0,840 	Rame	 € 10,1937 	 € 11,0337 	 € 11,1100 	5,00%	 € 0,5517 	 € 0,1655 	 € -     	 € -     	 € 82,7531 	 € 0,0763 	 € 15,2515 	 € 98,0046 	28/11/2025				11	2025
2504836	Csf	1.000,00		 € 0,600 	Rame	 € 9,8774 	 € 10,4774 	 € 10,8400 	5,00%	 € 0,5239 	 € 0,1572 	 € -     	 € -     	 € 157,1615 	 € 0,3626 	 € 145,0262 	 € 302,1877 	09/01/2026				1	2026
2504836/25008519	Csf	1.126,00		 € 0,600 	Rame	 € 9,8774 	 € 10,4774 	 € 10,8400 	5,00%	 € 0,5239 	 € 0,1572 	 € -     	 € -     	 € 176,9639 	 € 0,3626 	 € 163,2995 	 € 340,2634 		OK			0	0
2504983	Vezzaro	2.000,00		 € 1,110 	Rame	 € -     	 € 1,1100 	 € 1,4000 	0,00%	 € -     	 € -     	 € -     	 € 0,0888 	 € 177,6000 	 € 0,3900 	 € 312,0000 	 € 489,6000 	01/12/2025				12	2025
2504983	Vezzaro	1.000,00		 € 1,000 	Rame	 € -     	 € 1,0000 	 € 1,4000 	0,00%	 € -     	 € -     	 € -     	 € 0,0800 	 € 80,0000 	 € 0,4000 	 € 160,0000 	 € 240,0000 	01/12/2025				12	2025
2504983	Vezzaro	2.500,00		 € 0,960 	Rame	 € -     	 € 0,9600 	 € 1,3500 	0,00%	 € -     	 € -     	 € -     	 € 0,0768 	 € 192,0000 	 € 0,3900 	 € 390,0000 	 € 582,0000 	01/12/2025				12	2025
2504983	Vezzaro	3.000,00		 € 0,960 	Rame	 € -     	 € 0,9600 	 € 1,3500 	0,00%	 € -     	 € -     	 € -     	 € 0,0768 	 € 230,4000 	 € 0,3900 	 € 468,0000 	 € 698,4000 	01/12/2025				12	2025
2504983	Vezzaro	1.500,00		 € 1,000 	Rame	 € -     	 € 1,0000 	 € 1,3500 	0,00%	 € -     	 € -     	 € -     	 € 0,0800 	 € 120,0000 	 € 0,3500 	 € 210,0000 	 € 330,0000 	01/12/2025				12	2025
2504983	Vezzaro	3.000,00		 € 1,000 	Rame	 € -     	 € 1,0000 	 € 1,3500 	0,00%	 € -     	 € -     	 € -     	 € 0,0800 	 € 240,0000 	 € 0,3500 	 € 420,0000 	 € 660,0000 	01/12/2025				12	2025
2504983	Vezzaro	1.000,00		 € 0,980 	Rame	 € -     	 € 0,9800 	 € 1,3300 	0,00%	 € -     	 € -     	 € -     	 € 0,0784 	 € 78,4000 	 € 0,3500 	 € 140,0000 	 € 218,4000 	01/12/2025				12	2025
2504983	Vezzaro	1.000,00		 € 0,940 	Rame	 € -     	 € 0,9400 	 € 1,2800 	0,00%	 € -     	 € -     	 € -     	 € 0,0752 	 € 75,2000 	 € 0,3400 	 € 136,0000 	 € 211,2000 	01/12/2025				12	2025
2504867	Alstom	500,00		 € 0,660 	Rame	 € 8,6697 	 € 9,3297 	 € 9,3300 	5,00%	 € 0,4665 	 € 0,1399 	 € -     	 € -     	 € 69,9724 	 € 0,0003 	 € 0,0691 	 € 70,0415 	08/01/2026				1	2026
2504867	Alstom	1.000,00		 € 0,660 	Rame	 € 8,6697 	 € 9,3297 	 € 9,3300 	5,00%	 € 0,4665 	 € 0,1399 	 € -     	 € -     	 € 139,9448 	 € 0,0003 	 € 0,1383 	 € 140,0831 	05/12/2025				12	2025
